RUBRO,SUBRUBRO,MARCA,Rubro,Subrubro,,Orden,Codigo,Nombre,Precio,Unidad por bulto fact.,Texto,
MATERIALES GRUESOS            ,IGGAM     -S. IGGAM/SALPICRETE,IGGAM,17,150,17015,14,25164,BOLSA SUPER IGGAM TEXTURABLE X 30 KGS             ,204.59,1,UNI,1
MATERIALES GRUESOS            ,IGGAM     -S. IGGAM/SALPICRETE,IGGAM,17,150,17015,19,12051,BOLSA SALPICRETE  304 X 30 KGS ROMA               ,88.31,1,UNI,1
MATERIALES GRUESOS            ,IGGAM     -S. IGGAM/SALPICRETE,IGGAM,17,150,17015,20,12091,BOLSA SALPICRETE  306 X 30 KGS ARENA              ,88.31,1,UNI,1
MATERIALES GRUESOS            ,IGGAM     -S. IGGAM/SALPICRETE,IGGAM,17,150,17015,21,11310,BOLSA SALPICRETE  450 X 30 KGS BLANCO             ,88.31,1,UNI,1
MATERIALES GRUESOS            ,IGGAM     -S. IGGAM/SALPICRETE,IGGAM,17,150,17015,22,16330,BOLSA SALPICRETE 1006 X 30 KGS MARFIL             ,88.31,1,UNI,1
MATERIALES GRUESOS            ,IGGAM     -S. IGGAM/SALPICRETE,IGGAM,17,150,17015,23,12034,BOLSA SALPICRETE 1612 X 30 KGS GRIS PERLA         ,88.31,1,UNI,1
MATERIALES GRUESOS            ,IGGAM     -S. IGGAM/SALPICRETE,IGGAM,17,150,17015,24,16574,BOLSA SALPICRETE 7130 X 30 KGS PIEDRA PARIS       ,88.31,1,UNI,1
MATERIALES GRUESOS            ,IGGAM     -MORTERO            ,IGGAM,17,1920,17192,2,23541,WEBER.TEC RAPID X 10 KG (MORTERO)                 ,96.97,1,UNI,1
MATERIALES GRUESOS            ,WEBER - MORTERO HIDROFUGADO   ,WEBER,17,2304,17.2304,1,26567,WEBER.TEC CERESITA X 30 KGS. (ROJO)               ,46.94,1,UNI,1
MATERIALES GRUESOS            ,IGGAM     -SUPER IGGAM        ,IGGAM,17,1062,17.1062,10,16575,SUPER IGGAM 'P' X 20 LTS RULATO TRAVERTINO FINO   ,521.88,1,UNI,1
MATERIALES GRUESOS            ,IGGAM     -SUPER IGGAM        ,IGGAM,17,1062,17.1062,20,16576,SUPER IGGAM 'P' X 20 LTS RULATO TRAVERTINO GRUESO ,521.88,1,UNI,1
MATERIALES GRUESOS            ,IGGAM     -SUPER IGGAM        ,IGGAM,17,1062,17.1062,30,16577,SUPER IGGAM 'P' X 20 LTS LLANEADO FINO            ,521.88,1,UNI,1
MATERIALES GRUESOS            ,IGGAM     -SUPER IGGAM        ,IGGAM,17,1062,17.1062,40,16578,SUPER IGGAM 'P' X 20 LTS LLANEADO GRUESO          ,521.88,1,UNI,1
MATERIALES GRUESOS            ,KLAUKOL   -PAREX              ,KLAUKOL,17,1937,17.1937,1,23257,PAREX-FIX X 30 KG                                 ,57.47,1,UNI,1
MATERIALES GRUESOS            ,KLAUKOL   -PAREX              ,KLAUKOL,17,1938,17.1938,1,23258,PAREX-DUO X 30 KG                                 ,65.08,1,UNI,1
MATERIALES GRUESOS            ,KLAUKOL   -PAREX              ,KLAUKOL,17,1938,17.1938,2,23259,PAREX-TRIO X 30 KG                                ,79.78,1,UNI,1
MATERIALES GRUESOS            ,KLAUKOL   -PAREX              ,KLAUKOL,17,1939,17.1939,1,23261,PAREX-ESTILO COLORES NORMALES X 30 KG             ,114.64,1,UNI,1
MATERIALES GRUESOS            ,KLAUKOL   -PAREX              ,KLAUKOL,17,1939,17.1939,2,23260,PAREX-NIVEL ATERMICO X 40 KG AMARILLO             ,155.59,1,UNI,1
MATERIALES GRUESOS            ,KLAUKOL   -PAREX              ,KLAUKOL,17,1940,17194,1,23262,PAREX-MATIZ X 25 KG                               ,104.02,1,UNI,1
MATERIALES GRUESOS            ,KLAUKOL   -PASTINA            ,KLAUKOL,17,163,17.0163,1,2523,PASTINA X 1 KG                                    ,7.53,1,UNI,1
MATERIALES GRUESOS            ,KLAUKOL   -PASTINA            ,KLAUKOL,17,163,17.0163,3,18878,PASTINA X 5 KGS                                   ,33.12,1,UNI,1
MATERIALES GRUESOS            ,KLAUKOL   -PASTINA A. PERFORMA,KLAUKOL,17,2032,17.2032,1,13172,PASTINA PORCELANATO (KLAUKOL) X 1 KG              ,18.02,1,UNI,1
MATERIALES GRUESOS            ,KLAUKOL   -PASTINA JUNTA ANCHA,KLAUKOL,17,1297,17.1297,10,1927,PASTINA JUNTA ANCHA X 10 KGS                      ,68.63,1,UNI,1
MATERIALES GRUESOS            ,KLAUKOL   -STUKO PREMIUM      ,KLAUKOL,17,2031,17.2031,1,14810,STUKO INTERIOR PREMIUM X 25 KGS                   ,67.5,1,UNI,1
MATERIALES GRUESOS            ,KLAUKOL   -MEZTIK             ,KLAUKOL,17,749,17.0749,10,14821,MEZTIK X 10 KGS                                   ,23.71,1,UNI,1
MATERIALES GRUESOS            ,KLAUKOL   -MEZTIK             ,KLAUKOL,17,749,17.0749,20,14822,MEZTIK X 30 KGS                                   ,48.62,1,UNI,1
MATERIALES GRUESOS            ,KLAUKOL   -STUKO PEGAMENTO    ,KLAUKOL,17,162,17.0162,2,19142,STUKO INTERIOR X 10 KGS                           ,26.65,1,UNI,1
MATERIALES GRUESOS            ,KLAUKOL   -STUKO PEGAMENTO    ,KLAUKOL,17,162,17.0162,3,2521,STUKO INTERIOR X 25 KGS                           ,47.33,1,UNI,1
MATERIALES GRUESOS            ,KLAUKOL   -STUKO PEGAMENTO    ,KLAUKOL,17,162,17.0162,4,6424,STUKO EXTERIOR X 25 KGS                           ,54.31,1,UNI,1
MATERIALES GRUESOS            ,WEBER -KONFINO                ,WEBER,17,187,17.0187,2,2650,WEBER.REV.FINO X 25 KGS (KONFINO INTERIOR)        ,45.16,1,UNI,1
MATERIALES GRUESOS            ,WEBER -KONFINO                ,WEBER,17,187,17.0187,3,21403,WEBER.REV.FORTE  X 25 KGS (KONFINO EXTERIOR)      ,52.16,1,UNI,1
MATERIALES GRUESOS            ,WEBER     -MIX                ,WEBER,17,2151,17.2151,1,24007,IGGAM MIX E X 30 KGS (FINO/GRUESO/HIDROFUGO)      ,50.25,1,UNI,1
MATERIALES GRUESOS            ,WEBER     -PROMEX             ,WEBER,17,2035,17.2035,1,24125,WEBER PROMEX EXTERIOR (3 EN 1) X 30 KGS           ,64.47,1,UNI,1
MATERIALES GRUESOS            ,WEBER     -PROMEX             ,WEBER,17,2035,17.2035,2,24124,WEBER PROMEX INTERIOR (2 EN 1) X 30 KGS           ,45.96,1,UNI,1
MATERIALES GRUESOS            ,WEBER     -ANTIHUMEDAD/REPARAD,WEBER,17,522,17.0522,1,4061,WEBER.TEC HYDROMUR X 25 KGS (ANTIHUMEDAD)         ,168.26,1,UNI,1
MATERIALES GRUESOS            ,WEBER     -ANTIHUMEDAD/REPARAD,WEBER,17,522,17.0522,2,4066,WEBER.TEC DUR X 25 KGS (REP. HORMIG)              ,231.83,1,UNI,1
MATERIALES GRUESOS            ,WEBER     -ANTIHUMEDAD/REPARAD,WEBER,17,522,17.0522,3,4068,WEBER.TEC IMPER F CAPA FINA X 25 KGS              ,214.01,1,UNI,1
MATERIALES GRUESOS            ,WEBER     -ANTIHUMEDAD/REPARAD,WEBER,17,522,17.0522,4,4069,WEBER.TEC IMPER G CAPA GRUESA X 25 KGS            ,110.69,1,UNI,1
MATERIALES GRUESOS            ,WEBER - MIXTURE               ,WEBER,17,725,17.0725,1,25488,CAMISETA SELECCION ARGENTINA -PREOLIMPICO 2011-   ,33.13,1,UNI,1
MATERIALES GRUESOS            ,WEBER     -PASTINA            ,WEBER,17,1230,17123,1,4185,WEBER.COL PASTINA EPOXI X 5 KGS                   ,562.09,1,UNI,1
MATERIALES GRUESOS            ,WEBER     -PEGAMENTO          ,WEBER,17,1206,17.1206,1,23536,WEBER.COL VENECIANO X 30 KGS NIEVE                ,221.47,1,UNI,1
MATERIALES GRUESOS            ,WEBER     -PEGAMENTO          ,WEBER,17,1206,17.1206,2,22544,WEBER.REV MULTIUSO X 30 KGS (MORTERO)             ,46.68,1,UNI,1
MATERIALES GRUESOS            ,WEBER     -PEGAMENTO          ,WEBER,17,773,17.0773,2,23454,WEBER.COL IMPERMAX X 20 KGS                       ,88.12,1,UNI,1
MATERIALES GRUESOS            ,WEBER     -PEGAMENTO          ,WEBER,17,773,17.0773,3,18570,WEBER.COL SUPERFLEX X 30 KGS (PEGAMENTO)          ,192.54,1,UNI,1
MATERIALES GRUESOS            ,WEBER     -PEGAMENTO          ,WEBER,17,773,17.0773,4,4445,WEBER.COL RENOVACION X 30 KGS (PEGAMENTO)         ,150.46,1,UNI,1
MATERIALES GRUESOS            ,WEBER     -PEGAMENTO          ,WEBER,17,1985,17.1985,1,18569,WEBER.COL PORCELLANATO X 30 KGS (PEGAMENTO)       ,139.33,1,UNI,1
MATERIALES GRUESOS            ,WEBER     -PEGAMENTO          ,WEBER,17,1953,17.1953,1,23365,WEBER.COL PASTA X  7 KGS                          ,138.75,1,UNI,1
MATERIALES GRUESOS            ,WEBER     -PEGAMENTO          ,WEBER,17,1953,17.1953,2,23366,WEBER.COL PASTA X 35 KGS                          ,628.5,1,UNI,1
MATERIALES GRUESOS            ,WEBER     -PEGAMENTO          ,WEBER,17,1953,17.1953,3,26227,WEBER.REV BLOCK X 30 KGS                          ,52.08,1,UNI,1
MATERIALES GRUESOS            ,WEBER     -FINO AL YESO       ,WEBER,17,1653,17.1653,1,18568,WEBER.REV YESO GF X 25 KGS                        ,65.16,1,UNI,1
MATERIALES GRUESOS            ,WEBER     -PASTINA            ,WEBER,17,1651,17.1651,1,4443,WEBER.COL PASTINA (PORCELLANATO) X 1 KG           ,14.6,1,UNI,1
MATERIALES GRUESOS            ,WEBER     -PASTINA            ,WEBER,17,1651,17.1651,2,15377,WEBER.COL PASTINA X 1 KG                          ,7.67,1,UNI,1
MATERIALES GRUESOS            ,WEBER     -PASTINA            ,WEBER,17,1651,17.1651,3,17553,WEBER.COL PASTINA X 5 KGS  NIEVE                  ,30.64,1,UNI,1
MATERIALES GRUESOS            ,WEBER     -PEGAMENTO          ,WEBER,17,1652,17.1652,1,23209,WEBER.TEC GLASS BCO X 5 KGS (PEG. LAD VIDRIO)     ,31.43,1,UNI,1
