"RUBRO","SUBRUBRO","MARCA","Rubro","Subrubro",,"Orden","Codigo","Nombre","Precio","Unidad por bulto fact.","Texto",
"METALURGIA, ACINDAR           ","ACINDAR-HO LISO EN BARRA 12,14","ACINDAR",1,1749,"1.1749",8,1845,"KG HIERRO LISO (B) 12 MM                          ","9.47",0,"KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-HO LISO EN BARRA 12,14","ACINDAR",1,1749,"1.1749",9,7054,"KG HIERRO LISO (B) 14 MM                          ","9.47",0,"KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-HO LISO EN BARRA 12,14","ACINDAR",1,1749,"1.1749",10,1846,"KG HIERRO LISO (B) 16 MM                          ","9.38",0,"KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-HO LISO EN BARRA 12,14","ACINDAR",1,1749,"1.1749",11,1847,"KG HIERRO LISO (B) 20 MM                          ","9.38",0,"KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-HO LISO EN BARRA 12,14","ACINDAR",1,1749,"1.1749",12,1848,"KG HIERRO LISO (B) 25 MM                          ","9.38",0,"KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-HIERRO LISO EN ROLLO  ","ACINDAR",1,1750,1175,28,1839,"KG HIERRO LISO (R)  6 MM                          ","9.56",0,"KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-HIERRO LISO EN ROLLO  ","ACINDAR",1,1750,1175,30,1841,"KG HIERRO LISO (R)  8 MM                          ","9.38",0,"KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-HIERRO LISO EN ROLLO  ","ACINDAR",1,1750,1175,32,1843,"KG HIERRO LISO (R) 10 MM                          ","9.38",0,"KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",2,13439,"BARRA ANGULO     1/2X1/8                          ","46.68",4,"UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",3,1954,"BARRA ANGULO     5/8X1/8                          ","52.13","4.55","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",4,1955,"BARRA ANGULO    3/4X1/8                           ","59.69","5.5","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",5,1956,"BARRA ANGULO    7/8X1/8                           ","68.79","6.4","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",6,1957,"BARRA ANGULO   1X1/8                              ","75.92","7.7","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",7,1958,"BARRA ANGULO   1X3/16                             ","103.68","10.7","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",8,1959,"BARRA ANGULO  1 1/4X1/8                           ","95.64","9.7","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",9,1960,"BARRA ANGULO  1 1/4X3/16                          ","136.58","13.7","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",10,1962,"BARRA ANGULO  1 1\2X 1/8                          ","115.36","11.7","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",11,1963,"BARRA ANGULO  1 1\2X 3/16                         ","150.54","16.6","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",12,24193,"BARRA ANGULO  1 1\2X1/4                           ","203.05","21.46","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",13,1965,"BARRA ANGULO  1 3/4X1/8                           ","146.48","14.6","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",14,1966,"BARRA ANGULO  1 3/4X3/16                          ","193.85","20.5","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-ANGULO                ","ACINDAR",1,102,"1.0102",15,1968,"BARRA ANGULO  2X 1/8                              ","160.52",16,"UNI",1
